
WATCH THE HIVEMIND HERE: http://www.twitch.tv/angrydraco 

*** NOTE ***

This is a snap shot for the hour before Anarchy was restored. All names
listed may or may not be human, they are everyone who contributed inputs
for the past hour. At point of interest I took this snap to help others
identify and witness the clone bots motives.

EDIT: Typos.

*** END NOTE **

-- FULL LIST AUTOMATICALLY GENERATED FROM HIVEMIND -- 
Names listed are those ACTIVE for the past 20 minutes as of (16D 20H - Suspect Snapshot) - UTC: 21:26:09.668

CORE VERSIONING - playerData: b130 DEV | dataPacket: b120 DEV | dataCounts: b130 DEV | Analysis is now implemented as playerData.fastAnalyze<Troll|Bot>() | 

-- INPUT COUNTS ARE FROM THE PAST HOUR -- 

OF THE 1178 USERS... 1129 HAVE AT LEAST 1 INPUTS

IN	Θ60	Θ15	Θ2	LEFT	RIGHT	UP	DOWN	A	B	St	Sel	L	R	Wait	Demo	Anarch	Riot	Chat	Yes	No	σ	(σ-μ)	μT	σT	USERNAME
48	0	2	5	2.0	14.0	32.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	8.0	5.2	26.9	77.9	ol0wqu
48	1	1	2	6.5	17.0	19.5	    	1.0	1.0	1.0	1.0	    	    	0	1	0	0	14	0	1	5.8	3.0	9.4	10.8	genericallyepic
47	1	1	7	2.0	13.0	32.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.9	5.1	15.9	14.0	t5zrwo
47	1	0	0	    	    	    	    	    	21.0	    	    	4.0	    	0	0	22	0	10	0	0	6.9	4.1	30.5	125.4	malmantwocsuchico
47	2	2	4	2.0	13.0	32.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.9	5.1	15.6	13.8	iorkovo6b1
46	1	1	5	2.0	13.0	31.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.7	5.0	16.3	14.5	g4cntnyb
46	9	9	1	1.0	    	    	1.0	    	1.0	    	    	    	    	0	0	43	0	2	0	0	10.1	7.4	7.3	5.9	kraitoth
46	3	3	0	    	    	    	11.0	3.0	6.0	    	    	    	    	0	0	26	0	4	0	0	6.5	3.8	17.3	27.8	totherex
46	1	1	4	2.0	13.0	31.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.7	5.0	16.0	14.5	bg153ha
46	1	1	0	1.0	    	    	23.5	0.5	9.0	1.0	    	    	    	0	2	9	0	9	0	0	5.9	3.2	40.0	83.8	ahnaful
46	1	1	4	2.0	13.0	31.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.7	5.0	16.0	14.2	ez73or
46	0	1	0	2.0	12.0	32.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.8	5.1	29.2	80.1	xabwme
45	2	2	4	2.0	13.0	30.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.5	4.9	16.3	14.8	veknsn0j
45	2	2	0	2.0	12.0	31.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.6	5.0	16.3	14.6	tkmuq7azj
45	2	2	7	2.0	13.0	30.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.5	4.9	16.6	14.6	okex3k
